R1,R2,carry_κ,samples,delta_mean,delta_median,delta_p90,Rout_entropy_bits
"R1 [0,π/2[","R1 [0,π/2[",0,630,0.13518,0.129609,0.229467,1.4965
"R1 [0,π/2[","R2 [π/2,2π/3[",0,385,0.232954,0.230815,0.312327,0.695181
"R1 [0,π/2[","R3 [2π/3,2π[",0,2248,0.392094,0.396008,0.511333,-0.0
"R1 [0,π/2[","R3 [2π/3,2π[",1,937,0.568324,0.571364,0.599096,-0.0
"R2 [π/2,2π/3[","R2 [π/2,2π/3[",0,66,0.355818,0.350365,0.38721,-0.0
"R2 [π/2,2π/3[","R3 [2π/3,2π[",0,380,0.490927,0.489059,0.562943,-0.0
"R2 [π/2,2π/3[","R3 [2π/3,2π[",1,621,0.609087,0.60831,0.634501,0.47862
"R3 [2π/3,2π[","R3 [2π/3,2π[",0,134,0.540515,0.547871,0.577518,-0.0
"R3 [2π/3,2π[","R3 [2π/3,2π[",1,4052,0.720843,0.702231,0.854942,1.394212
